ano,valor,pais,codigo_pais,indicador,categoria
2023,,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,10.5153109905714,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,10.5153109907608,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,10.5008530528714,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,10.5153149887873,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,10.4702544568094,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,10.5153149889234,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,10.5153149894647,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,10.515314990321,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,10.5153149887906,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,8.5986138783126,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,8.5986138785648,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,8.38378653392497,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,8.2269930936323,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,1.90097752666214,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,1.90097752074927,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,9.18597284150406,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,9.13391619180121,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,9.18597284208077,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,9.1859728360924,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,11.8585885991978,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,11.8585886040614,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,12.1201052319559,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,12.1018268909762,Nepal,NP,NV.MNF.TECH.ZS.UN,Economy & Growth
