ano,valor,pais,codigo_pais,indicador,categoria
2023,,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,13.5347835919179,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,12.9149136266891,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,13.4578207957062,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,14.1364518435298,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,14.3113666794682,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,14.4523633429705,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,15.323112525311,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,14.6765542316138,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,14.5747461546195,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,13.6731421753235,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,13.4641346671758,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,12.1176928599253,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,12.8743488936116,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,13.5392173056922,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,14.1982909958184,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,14.3693024037224,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,13.5282307257919,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,12.9267813325476,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,12.8846090300348,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,13.6446747324557,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,14.0864909643685,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,14.5422387850735,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,14.854373496651,Peru,PE,NV.MNF.TECH.ZS.UN,Economy & Growth
