ano,valor,pais,codigo_pais,indicador,categoria
2023,,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,62.4568932682989,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,62.4578705673404,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,50.0969262739607,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,63.4685250021817,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,65.0068252818995,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,47.8567102062537,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,54.1662135725441,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,56.094271349895,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,66.6503923358682,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,62.187993497663,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,62.8876265185395,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,36.7155440235253,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,22.698189341477,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,24.5549119910402,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,33.0113768983618,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,26.8332420182778,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,15.2549791780783,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,21.7601344867414,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,17.9723015153132,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,18.2305287203378,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,14.5951177147649,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,19.7911987729973,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,21.5353075326378,Qatar,QA,NV.MNF.TECH.ZS.UN,Economy & Growth
