ano,valor,pais,codigo_pais,indicador,categoria
2023,,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,40.0123905256394,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,36.6122908207214,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,39.8324033280322,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,40.9502906643888,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,42.7692820578999,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,42.8986509211854,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,40.7693733217849,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,41.3886040720668,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,36.9566050075401,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,37.699086071957,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,36.7858776090607,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,36.017200262752,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,35.2430242347706,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,33.9942658134241,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,25.9838517587704,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,27.0997354340207,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,25.131605998936,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,25.0076486491549,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,25.4808781339417,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,27.2359897483503,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,21.7968200049769,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,21.0077113459275,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,21.0233853581747,Romania,RO,NV.MNF.TECH.ZS.UN,Economy & Growth
