ano,valor,pais,codigo_pais,indicador,categoria
2023,,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,82.3295378566117,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,81.2745525025105,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,80.6582949692966,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,80.5775174376811,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,83.7270701945211,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,78.5716846127932,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,75.4231282921435,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,74.847165988133,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,75.8814724281847,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,75.9348999790546,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,76.2838088761689,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,77.2736001239364,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,75.9920687303204,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,71.1140868220921,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,74.5631338561831,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,78.3539807698535,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,77.7996825559231,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,76.7202677512217,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,76.8385802027273,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,74.8849498532988,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,73.8327209052278,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,72.7090435106216,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,74.1997650434344,Singapore,SG,NV.MNF.TECH.ZS.UN,Economy & Growth
