ano,valor,pais,codigo_pais,indicador,categoria
2023,,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2022,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2021,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2020,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2019,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2018,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2017,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2016,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2015,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2014,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2013,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2012,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2011,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2010,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2009,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2008,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2007,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2006,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2005,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2004,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2003,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2002,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2001,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
2000,19.1274927360563,El Salvador,SV,NV.MNF.TECH.ZS.UN,Economy & Growth
