ano,valor,pais,codigo_pais,indicador,categoria
2023,43.1509786054567,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2022,45.8333458899745,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2021,39.0006389110548,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2020,34.665430576638,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2019,39.1494973417951,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2018,42.5901445762183,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2017,41.2467069682322,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2016,40.8489873405107,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2015,44.1664864618796,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2014,45.1464939403677,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2013,45.5417720940414,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2012,49.1594207493416,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2011,46.8631654936856,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2010,41.9001643434464,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2009,40.674938132502,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2008,42.3876242998636,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2007,41.830812198571,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2006,47.1305912305027,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2005,42.0922285709927,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2004,38.0219231089409,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2003,35.5770687181891,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2002,33.9168111859217,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2001,37.7938446460294,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
2000,39.0091014192339,Iceland,IS,NE.IMP.GNFS.ZS,"Economy & Growth, Trade"
