ano,valor,pais,codigo_pais,indicador,categoria
2023,34.5942721606063,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2022,33.9200804971876,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2021,33.3160943869001,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2020,32.9115650824449,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2019,32.8525491977868,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2018,31.9828135899766,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2017,31.2482919641603,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2016,31.0691513830358,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2015,26.8313948329541,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2014,26.3110467833576,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2013,26.3070701636507,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2012,25.3099593902625,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2011,25.0452996007551,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2010,24.9564767264585,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2009,25.2955721814431,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2008,24.7270013036793,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2007,24.5005410079343,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2006,24.0953205119221,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2005,23.2998442190711,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2004,22.7797200060528,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2003,22.4741487860882,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2002,22.8392543728467,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2001,22.5838118742213,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
2000,22.2793826819325,Bangladesh,BD,NV.IND.TOTL.ZS,Economy & Growth
