ano,valor,pais,codigo_pais,indicador,categoria
2023,8.22051733135763,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2022,8.3830679169951,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2021,8.86439923825192,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2020,7.65409444723704,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2019,7.93089453000351,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2018,7.92367534573223,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2017,8.01938141645934,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2016,7.6757718255658,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2015,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2014,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2013,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2012,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2011,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2010,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2009,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2008,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2007,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2006,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2005,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2004,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2003,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2002,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2001,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
2000,,Channel Islands,JG,NV.IND.TOTL.ZS,Economy & Growth
