ano,valor,pais,codigo_pais,indicador,categoria
2023,31.1386885672813,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2022,33.0696648664408,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2021,32.6621209293127,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2020,30.2824717113219,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2019,29.0773366472454,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2018,28.8112847763176,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2017,28.0687739986086,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2016,27.5780873614009,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2015,28.4963681779993,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2014,29.7690586812,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2013,29.2489335693787,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2012,28.420258514694,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2011,28.3955428840411,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2010,27.9233936099573,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2009,27.7870235380193,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2008,29.5921888123408,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2007,30.5469468475571,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2006,31.1098612580608,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2005,30.2693576718316,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2004,31.8129445090859,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2003,31.8823028936378,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2002,31.088108747831,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2001,29.7327726562993,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
2000,31.6704245093107,Dominican Republic,DO,NV.IND.TOTL.ZS,Economy & Growth
