ano,valor,pais,codigo_pais,indicador,categoria
2023,26.8571330147768,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2022,29.2119799311546,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2021,27.4363822676538,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2020,23.9811347301352,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2019,26.6504605861627,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2018,28.0147495283775,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2017,28.4680086969835,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2016,27.5339637947157,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2015,28.0900423392523,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2014,35.7119955282529,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2013,36.8322936524171,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2012,37.0917503800762,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2011,37.4057005178901,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2010,33.9061751825852,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2009,31.0916213331503,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2008,38.9201614839835,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2007,35.4352292862054,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2006,34.7933483797009,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2005,32.1244730702211,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2004,29.6637383769892,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2003,27.5468648555501,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2002,27.9809746339912,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2001,28.4638100268279,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
2000,34.6929113152167,Ecuador,EC,NV.IND.TOTL.ZS,Economy & Growth
