ano,valor,pais,codigo_pais,indicador,categoria
2023,24.4766764370164,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2022,22.7175278117724,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2021,21.8500273668148,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2020,23.1022948090627,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2019,24.8223675100372,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2018,27.3057021409277,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2017,23.5819061799905,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2016,21.9325682020946,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2015,16.2977936386153,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2014,13.4713245062584,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2013,10.9445569914695,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2012,9.47613796506918,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2011,9.6646421928884,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2010,9.43512813822331,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2009,9.68348044252178,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2008,10.2068542889297,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2007,11.5894966658928,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2006,11.5923160493911,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2005,11.7888335264129,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2004,12.6855403366012,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2003,12.8995022232624,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2002,12.7402796419574,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2001,11.9279294612334,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
2000,11.4104671171237,Ethiopia,ET,NV.IND.TOTL.ZS,Economy & Growth
