ano,valor,pais,codigo_pais,indicador,categoria
2023,33.1881838653592,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2022,40.6817053341015,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2021,38.1839140893978,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2020,37.3727562066088,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2019,35.9150001809721,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2018,36.8782374335931,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2017,36.2358904469279,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2016,36.4831744397148,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2015,38.4033028786772,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2014,24.4016673840897,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2013,23.8027029676725,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2012,24.0269938956477,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2011,24.2655344384155,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2010,23.3319042137528,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2009,25.6117521529089,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2008,25.9255497868699,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2007,28.5265724364426,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2006,30.0803731990164,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2005,30.0341921238419,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2004,30.7660924583293,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2003,32.2589942766588,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2002,35.105250232772,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2001,34.0831218990801,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
2000,31.5013226058138,Ireland,IE,NV.IND.TOTL.ZS,Economy & Growth
