ano,valor,pais,codigo_pais,indicador,categoria
2023,19.9332741424242,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2022,20.6299129345756,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2021,21.0681686261784,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2020,21.6707835132548,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2019,21.446530569642,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2018,20.7455355989539,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2017,19.3891084098606,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2016,18.4106670965716,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2015,18.0893918058157,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2014,18.8878203551126,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2013,17.7251336277016,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2012,20.4473927800062,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2011,20.6490800268912,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2010,22.7340493055412,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2009,24.367103110392,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2008,21.7080125193413,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2007,23.7580242220657,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2006,25.8489227756132,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2005,22.631862552386,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2004,22.6104074322212,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2003,22.7592079275042,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2002,22.6011138032382,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2001,22.6703385481688,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
2000,21.5209477946314,Mali,ML,NV.IND.TOTL.ZS,Economy & Growth
