ano,valor,pais,codigo_pais,indicador,categoria
2023,12.4766805746728,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2022,12.9653049670004,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2021,14.8354952739754,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2020,17.2946800578084,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2019,16.1294414526219,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2018,15.9341257910459,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2017,14.8613741835193,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2016,15.6549814868251,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2015,14.3534622406494,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2014,14.3036482604292,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2013,15.457247193367,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2012,14.8905052590353,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2011,15.0942130574761,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2010,17.1484021260188,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2009,17.3487567662897,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2008,17.694787409146,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2007,17.0029838668892,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2006,17.6826544999168,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2005,17.341544930727,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2004,18.9729443885822,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2003,19.3294873017387,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2002,21.5953506185527,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2001,22.3143207912841,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
2000,21.2590046532839,Montenegro,ME,NV.IND.TOTL.ZS,Economy & Growth
