ano,valor,pais,codigo_pais,indicador,categoria
2023,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,,Bermuda,BM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
