ano,valor,pais,codigo_pais,indicador,categoria
2023,4.38711707003279,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,5.27616724262846,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,4.09195189692863,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,2.42500656821815,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,-1.10686343994188,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,0.359409031380677,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,0.685881065304603,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,0.723178457513217,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,1.25149954781477,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,0.448682076766141,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,2.58117037252936,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,1.30451119915597,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,4.9124339505246,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,1.22645612135479,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,1.01950457731133,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,6.30852769152581,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,1.89200629349597,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,2.46719148596918,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,3.88583039886476,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,1.45798835600739,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,3.29680746974211,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,3.0772648515743,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,4.36152914007262,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,2.53077516737987,Cote d'Ivoire,CI,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
