ano,valor,pais,codigo_pais,indicador,categoria
2023,7.38281384280984,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,6.24767713343861,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,2.27185762503637,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,2.43760882182236,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,2.45280214062732,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,1.0688581131292,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,0.64040914988195,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,0.874190383288856,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,2.676235314199,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,1.85489850366777,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,2.05034718001741,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,2.73529677529539,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,2.93969946305091,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,1.27538046242338,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,3.04361847939999,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,5.33780627627498,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,0.921402245650095,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,5.11757816019469,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,2.01353950175986,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,0.233647380067584,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,0.623163557374316,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,2.83442260128067,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,4.41977245881146,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,1.22719012976132,Cameroon,CM,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
