ano,valor,pais,codigo_pais,indicador,categoria
2023,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,-0.62525835861814,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,-2.34752770165615,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,1.27397911533388,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,2.16061146813391,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,1.18894845245608,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,1.32543575779664,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,0.276140861750108,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,,Cayman Islands,KY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
