ano,valor,pais,codigo_pais,indicador,categoria
2023,2.21568764237058,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,3.46616972213077,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,0.133251386096389,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,-0.338872392562139,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,0.266012515466155,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,-0.224103246005552,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,0.417335588666825,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,1.72826463324533,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,3.96664623255358,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,3.58922016616663,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,2.72177577710371,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,5.10172180958666,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,4.4745326579584,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,3.55437734567843,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,5.15996829181047,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,8.40009593987462,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,2.27618478002121,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,3.29874846258215,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,2.1682770118372,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,2.74323198926704,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,7.92936487461556,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,12.4835980082095,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,37.6767454518094,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,96.0963756926096,Ecuador,EC,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
