ano,valor,pais,codigo_pais,indicador,categoria
2023,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,,Eritrea,ER,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
