ano,valor,pais,codigo_pais,indicador,categoria
2023,3.46480128513405,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,9.64525981280632,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,1.22382501019854,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,-1.24798355581405,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,0.253007522038157,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,0.62562141345364,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,1.12125452031419,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,-0.825653978390973,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,-1.73588804765284,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,-1.31226096405506,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,-0.921269454256994,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,1.50152696177758,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,3.3298532335065,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,4.71298907760388,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,1.21007269197809,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,4.15279708110293,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,2.89500321516578,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,3.19594684144545,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,3.54507273335078,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,2.8988481075817,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,3.53065027765552,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,3.62935871878874,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,3.37396832213867,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,3.1511816249383,Greece,GR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
