ano,valor,pais,codigo_pais,indicador,categoria
2023,2.82110335099641,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,6.11505550109935,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,5.03285574626702,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,0.99333702283873,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,2.08723089162013,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,1.28284288443528,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,1.90465615515584,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,0.836008061506207,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,-1.00173432776374,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,0.852630497539914,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,1.90125181860582,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,2.39193521312334,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,4.9777356370697,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,3.73337757704246,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,2.95230096381001,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,8.10202206969276,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,12.2001544446648,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,6.67715790410028,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,6.92554303890157,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,4.66846622369882,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,5.98097814066473,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,5.3410152137741,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,2.62741314203332,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,6.14854333024871,Guyana,GY,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
