ano,valor,pais,codigo_pais,indicador,categoria
2023,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,-0.124750499001971,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,0.3003003003003,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,,Nauru,NR,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
