ano,valor,pais,codigo_pais,indicador,categoria
2023,5.35094804280395,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,7.1957888597581,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,2.20457204757414,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,3.31332289544502,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,2.867588034469,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,2.61601190952274,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,5.20971705914209,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,5.70637504616212,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,5.58968606251725,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,3.07570668958641,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,4.90520875694557,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,12.6790377224659,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,16.5643496174515,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,3.97655288478168,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,13.0172561889185,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,12.0508555482886,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,6.1385108328505,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,7.31067613561864,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,8.44872642299532,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,3.72128743978228,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,8.68047651566884,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,-0.287508511765196,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,1.86512524084773,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,3.39202158512998,Uganda,UG,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
