ano,valor,pais,codigo_pais,indicador,categoria
2023,12.8490222828559,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,20.1836366617478,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,9.36313917695223,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,2.73249209419427,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,7.88671745611133,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,10.9518559353178,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,14.4383227488749,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,13.9127101997797,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,48.6998646434424,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,12.0718562874251,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,-0.238948626045407,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,0.568727971803862,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,7.95572466274652,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,9.37293105078978,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,15.8811924594476,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,25.226461707384,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,12.8387796190181,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,9.05252491133248,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,13.5695764909248,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,9.04806786050888,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,5.17967781908315,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,0.75742084639286,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,11.9588085390459,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,28.2030972388552,Ukraine,UA,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
