ano,valor,pais,codigo_pais,indicador,categoria
2023,11.1825017088175,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2022,6.67930581887121,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2021,2.34328358208953,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2020,5.32935073101715,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2019,2.76252019386111,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2018,2.33096379566866,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2017,3.08452624403546,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2016,0.842069084035061,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2015,2.48326875660439,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2014,0.798863838097023,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2013,1.45893371757921,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2012,1.34740362877658,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2011,0.8737931047811,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2010,2.76269469477348,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2009,4.29706572955357,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2008,4.84171322160149,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2007,3.93548387096774,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2006,2.04081632653062,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2005,1.19920053297801,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2004,1.41891891891893,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2003,3.01624129930394,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2002,1.96356754199195,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2001,3.57755452095074,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
2000,2.53768844221106,Vanuatu,VU,FP.CPI.TOTL.ZG,"Economy & Growth, Financial Sector "
