ano,valor,pais,codigo_pais,indicador,categoria
2023,6.29560082401824,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,4.23665226454663,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,2.5588606935971,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,1.11378607410401,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,1.37475350829189,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,1.01247848005298,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,1.13650934319639,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,0.347795381575793,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,0.660588959137868,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,-0.0840193165570753,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,0.448492200194735,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,0.174556905779482,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,0.196764152031051,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,0.374313758110119,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,0.132136132405464,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,2.27433831984322,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,3.21122734131436,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,3.45718408670396,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,3.39610212995052,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,3.04242399802695,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,3.17748421556476,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,3.23953176987777,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,3.08053517916559,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,28.7415528975991,Andorra,AD,NY.GDP.DEFL.KD.ZG,Economy & Growth
