ano,valor,pais,codigo_pais,indicador,categoria
2023,6.76270435629395,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,11.8088401064015,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,4.96460441570017,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,0.0621425496305932,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,2.47150468459363,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,2.79162490401892,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,1.77870702677497,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.33330596746471,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,1.36573070914964,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,1.00033721930362,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,-0.224122003175367,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,0.795773347301477,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,2.43252790824482,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,1.40629396620604,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,0.18546652937485,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,7.33535128597794,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,6.19756939107606,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,7.80012735973601,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,6.18901576798206,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,2.16197157775764,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,1.41086147967751,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,5.00786637251515,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,4.72611761621648,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,30.3325930267657,Bosnia and Herzegovina,BA,NY.GDP.DEFL.KD.ZG,Economy & Growth
