ano,valor,pais,codigo_pais,indicador,categoria
2023,2.91808886046567,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,4.94193319951842,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,0.169479511384438,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,0.669668394306555,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,4.20910596809098,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,1.8356679398124,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,0.40249413511539,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.71498680821954,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,-0.522859922969374,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,0.835044861947765,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.75215703553242,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,4.27048256936031,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,3.04568880149402,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,1.6751524700268,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,0.986041110949643,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,3.14428979865365,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,3.5449226957637,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,3.11076370928964,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,0.315881658228534,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,3.38836173249462,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,5.11182917627502,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,4.17065591684414,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,8.62998398922237,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,-4.46002451335903,Comoros,KM,NY.GDP.DEFL.KD.ZG,Economy & Growth
