ano,valor,pais,codigo_pais,indicador,categoria
2023,3.64092096854627,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,3.58324759973381,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,2.1453321619356,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,0.139369732138746,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,3.39631203940991,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,2.66279949920632,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,1.98679824630499,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.00009233254727,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,0.341900567720671,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,0.886728378363429,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.37820331588176,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,1.26141317100767,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,-0.46045298844831,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,-0.20640583789077,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,0.610375781069393,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,3.04772749497712,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,3.07284853429965,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,,Cayman Islands,KY,NY.GDP.DEFL.KD.ZG,Economy & Growth
