ano,valor,pais,codigo_pais,indicador,categoria
2023,5.87456266805546,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,6.4958241447423,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,1.39275645318513,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,-0.3639597319481,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,0.245015797961827,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,-0.234800895538129,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,0.203613276800695,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,-0.489960701596374,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,-0.17475366575222,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,-1.92347453577474,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,-1.96032167877375,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,-0.334570200125881,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,0.976658122998671,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,1.180920638269,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,2.36843421286838,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,4.06288931120949,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,3.36710337451804,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,3.36453588627148,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,1.90041814391672,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,2.96881074959956,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,3.55858801200597,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,2.95365633626594,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,3.47068748328935,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,1.61880041041648,Greece,GR,NY.GDP.DEFL.KD.ZG,Economy & Growth
