ano,valor,pais,codigo_pais,indicador,categoria
2023,,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,-0.416168295320645,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,0.703000441093323,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,0.744863000194002,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,1.84672035174569,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,3.2664996424492,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,3.53778245812826,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,8.14438057205848,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,0.990273554004744,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.06737253143181,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,3.44533181192106,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,2.88404565929712,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,2.02760491933817,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,5.53863543152578,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,-2.01334418011534,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,-0.0475153423214891,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,2.23838314534038,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,-3.22917708259992,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,-0.538444084879913,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,6.53297806665232,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,3.10308366667165,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,3.40225682840818,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,2.11009321468467,Greenland,GL,NY.GDP.DEFL.KD.ZG,Economy & Growth
