ano,valor,pais,codigo_pais,indicador,categoria
2023,2.77774905222925,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,1.68885829817785,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,0.683636960252912,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,0.638293116434753,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,2.04491647121345,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,3.65955345372002,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,2.88058680368654,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.6382712065802,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,3.6435717873687,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,2.85026459638024,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.81248196706605,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,3.54482583426005,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,3.89786843894694,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,0.270631981013935,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,-0.375418129080259,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,1.28148277791765,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,3.13741749094942,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,-0.534803185177395,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,-0.150061899138137,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,-3.59081194875468,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,-6.00769960516233,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,-3.40188923853884,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,-1.77403160610798,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,-3.39416371132833,"Hong Kong SAR, China",HK,NY.GDP.DEFL.KD.ZG,Economy & Growth
