ano,valor,pais,codigo_pais,indicador,categoria
2023,31.5119631448975,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,30.2012918564443,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,18.9602364056386,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,18.6851861283427,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,19.8003879006213,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,6.5357588755091,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,13.7798773975934,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,15.7032145295515,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,5.20596329822199,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,2.21898603934831,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,8.07714884191483,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,8.20779379091175,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,4.32073061328364,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,7.39382346704139,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,11.6014672379655,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,12.6749391714258,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,4.11225632167309,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,13.5183157532254,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,10.072132103637,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,19.3029246947154,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,17.9855214217412,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,10.2209698640329,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,13.2483298704949,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,91.3806637936128,Haiti,HT,NY.GDP.DEFL.KD.ZG,Economy & Growth
