ano,valor,pais,codigo_pais,indicador,categoria
2023,11.6865531940529,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,12.7978003859778,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,7.42596071258264,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,3.46419204267427,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,3.18250309465809,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,4.99324114976486,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,6.54982735214614,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,4.66411175576692,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,6.65540782392959,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,6.92994589148002,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,8.41581565660749,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,6.57190361388207,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,5.79618847204975,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,9.81023516820396,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,11.6565049802064,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,13.54680952549,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,11.3208103797352,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,8.84819293265961,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,11.4687438682087,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,12.8585995341944,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,11.6240551108509,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,9.08384842898865,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,7.80736940095173,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,10.5870802513251,Jamaica,JM,NY.GDP.DEFL.KD.ZG,Economy & Growth
