ano,valor,pais,codigo_pais,indicador,categoria
2023,,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,1.79361104875255,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,0.198829632204649,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,1.65824532511503,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,0.822431269471167,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,-1.20319688581242,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,-0.379454943329449,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.06284877515266,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,1.9600633571178,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,1.36123772707739,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,2.09042696818406,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,0.346766937067926,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,0.0398540381661689,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,-0.287103184096253,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,1.586850062683,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,0.279672532219806,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,1.62404031539968,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,1.18694415765546,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,2.20077195397286,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,1.69146020964075,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,1.71726805884683,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,4.21491436348742,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,2.72943890799586,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,2.85720915835998,French Polynesia,PF,NY.GDP.DEFL.KD.ZG,Economy & Growth
