ano,valor,pais,codigo_pais,indicador,categoria
2023,10.0501057520513,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,6.51715101546723,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,2.68996436135656,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,1.18953023258868,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,2.33858818675805,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,2.1809554232366,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,1.28762872790161,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,0.885483330309867,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,0.867195845770979,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,0.631553050140269,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.1327980246691,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,0.626619401658687,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,1.36451861108193,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,-0.491469663518984,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,2.73284071725568,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,4.50501550359247,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,4.20025128686945,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,2.22359964757672,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,1.50299789756312,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,3.35817484405874,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,5.66345782357303,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,7.61980985590355,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,8.70000614877415,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,5.53606478204385,Slovenia,SI,NY.GDP.DEFL.KD.ZG,Economy & Growth
