ano,valor,pais,codigo_pais,indicador,categoria
2023,2.59456529883668,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2022,4.15581315078867,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2021,2.46636746396649,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2020,1.93311361980237,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2019,0.01194354395939,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2018,0.454262222511389,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2017,-0.88495153357762,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2016,1.45776475423236,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2015,2.20271127261411,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2014,0.479875773843148,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2013,1.68327590063203,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2012,1.75039252974665,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2011,2.81959506363634,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2010,-0.0933359947250096,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2009,3.11722996127335,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2008,9.07419890830103,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2007,4.96379216848348,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2006,-0.508763232978126,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2005,5.87615776622891,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2004,-1.90788897317589,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2003,-2.89310698803745,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2002,5.02785556565668,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2001,1.63405347420718,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
2000,10.0494567461461,Togo,TG,NY.GDP.DEFL.KD.ZG,Economy & Growth
