ano,valor,pais,codigo_pais,indicador,categoria
2023,,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,20.0514136790167,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,18.7448714349599,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,23.6381461363848,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,23.0310575250024,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,16.3081736484861,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,19.4852908143228,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,19.9457149231407,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,31.6545368473144,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,34.9102425487905,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,32.8290855960018,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,38.7472961925445,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,34.5970818741756,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,28.8748872682932,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,47.2109883354693,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,36.8578332696592,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,41.717460890325,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,35.7993182061616,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,31.2383578521052,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,29.7076483905896,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,30.3482350705497,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,30.5912219889665,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,,"Congo, Rep.",CG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
