ano,valor,pais,codigo_pais,indicador,categoria
2023,4.50538091523482,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,5.05571937050665,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,6.55460469638638,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,7.1046286242862,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,7.78822030544149,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,8.97336366776418,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,9.44482816270803,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,9.35821999243861,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,9.94334434408776,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,9.73745298640636,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,10.4402875798581,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,11.0704406589647,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,10.8764740793191,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,10.7618375171957,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,9.40188635516537,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,10.1431001761295,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,8.26738260053514,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,8.87143240493906,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,10.9364647378013,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,11.904046384769,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,13.0642932752775,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,12.7548413577616,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,11.7799227192722,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,,Ethiopia,ET,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
