ano,valor,pais,codigo_pais,indicador,categoria
2023,43.2372754204675,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,45.0580295027497,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,43.9497127949658,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,44.0015590829144,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,44.0152636432372,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,45.6693521629155,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,45.683676231325,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,46.3937185703594,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,43.8507857974366,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,43.194299954025,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,43.7607628112252,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,44.3396291981173,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,40.7396508078936,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,37.9537602345474,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,36.5112016848157,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,37.5541284926224,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,37.2352449846351,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,36.0771842596001,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,37.0743679804993,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,36.7877644448115,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,38.4678548260115,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,39.5456935545875,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,40.4357813080368,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,42.5018377669505,Greece,GR,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
