ano,valor,pais,codigo_pais,indicador,categoria
2023,12.8398299855833,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,12.8951580396418,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,12.6562545319369,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,11.1186817566367,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,11.7162499284606,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,11.7783762240052,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,11.8855660473947,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,11.9784855616974,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,11.6684134198032,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,12.2754779124972,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,11.67480802316,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,11.6536287653464,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,11.5886315232722,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,11.2508952061192,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,11.0487357838323,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,12.0531437230944,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,12.8512587981495,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,12.7059320037599,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,11.9360043881605,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,12.3171708029656,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,12.4418004957894,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,12.6952143603472,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,12.1858859291436,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,10.1544564116353,Guatemala,GT,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
