ano,valor,pais,codigo_pais,indicador,categoria
2023,,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,21.5610968148177,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,21.4086562163273,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,21.1204147309134,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,23.3558169373887,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,23.87545075564,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,23.9722633784645,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,25.6605796453949,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,25.0526742783292,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,31.634025024525,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,31.9742367491459,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,32.0695992528798,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,31.6011916176063,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,30.9444402142186,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,30.8844309399908,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,31.922763105498,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,33.22462560346,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,33.7557312366551,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,32.1943781857403,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,31.1466544617053,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,30.061160684239,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,29.7273081302274,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,30.7691269989262,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,32.9403574380082,Ireland,IE,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
