ano,valor,pais,codigo_pais,indicador,categoria
2023,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,19.407709414381,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,20.1304235793146,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,19.7096668442405,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,19.0857203565681,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,19.3059201579441,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,18.7798194968437,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,19.2821944929863,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,19.3942879843296,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,20.3709050091102,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,20.1257761843893,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,19.4986280297734,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,18.9159012373857,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,18.8150645466406,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,18.6776882638889,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,17.5006001500375,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,18.4555967078189,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,18.353585186722,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,19.2665816521048,St. Lucia,LC,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
