ano,valor,pais,codigo_pais,indicador,categoria
2023,32.3930808287766,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,30.9260951300888,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,30.8020925932235,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,31.3524787899402,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,29.645265679803,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,29.4984524628125,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,29.5842915482447,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,29.8586049719461,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,28.8140465762193,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,28.9606921829946,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,28.7867892216105,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,28.7902868824145,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,28.5531242447924,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,27.3024621267701,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,27.5171030825018,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,26.7569936841517,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,27.6368572573191,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,28.8602988669949,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,27.0302289854482,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,27.0128740884849,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,26.8418732132742,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,27.081314646878,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,26.7827771962382,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,28.1604207608853,Latvia,LV,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
