ano,valor,pais,codigo_pais,indicador,categoria
2023,,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,10.3205615356993,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,11.0615443215367,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,10.6066108568423,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,11.5681282372208,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,11.4412914064544,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,10.8751557569481,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,10.0501781622727,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,9.78975810539539,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,9.29169930746224,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,9.53516757996452,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,9.16639323442013,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,9.69460356704252,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,10.6494964367752,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,8.77020393906096,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,11.6807124779128,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,10.2421871067948,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,10.0506909741261,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,9.42037056604443,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,10.4135570946462,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,9.18624253470352,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,,Madagascar,MG,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
