ano,valor,pais,codigo_pais,indicador,categoria
2023,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2022,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2021,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2020,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2019,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2018,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2017,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2016,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2015,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2014,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2013,,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2012,29.8761896900073,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2011,31.1612878465826,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2010,27.6713275294303,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2009,28.660549583143,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2008,29.1765267797052,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2007,26.9755036147961,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2006,26.4106285049895,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2005,26.1531847818299,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2004,26.5077178572808,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2003,26.7894903486255,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2002,27.1807715220114,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2001,26.6616057253736,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
2000,26.4763839719502,Tunisia,TN,GC.REV.XGRT.GD.ZS,"Economy & Growth, Public Sector "
