ano,valor,pais,codigo_pais,indicador,categoria
2023,31.4055526211369,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,30.0444751802805,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,27.4949012670688,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,31.9166114364154,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,38.979341859984,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,43.5804506197386,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,4.41099677054977,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,12.5999476448218,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,13.4953045095832,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,16.0677043046432,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,20.4650676258425,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,25.7860440548046,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,31.2651511267241,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,26.0475597454218,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,31.8462158413629,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,25.9385082414518,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,27.5101203249104,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,31.6261706111548,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,32.2262238908976,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,10.3820488034164,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,5.73470443388637,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,25.6453630574686,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,3.24377032862844,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,7.69241053194255,Bosnia and Herzegovina,BA,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
