ano,valor,pais,codigo_pais,indicador,categoria
2023,11.7952505747249,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,13.4304042032019,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,13.1250281292013,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,48.3928982677019,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,31.9797725845299,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,31.4125009109585,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,26.4185404189406,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,30.3456581512489,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,13.5698024209453,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,11.7426864071102,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,26.3224611907888,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,15.8337329060297,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,17.6663907670467,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,33.4710353981511,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,59.7777412191617,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,840.916183493084,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,341.440493948902,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,328.143049690233,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,285.089345190608,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,196.243312261566,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,477.318540908424,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,711.775272409509,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,4300.62474387879,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,4156.04196969697,"Congo, Dem. Rep.",CD,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
