ano,valor,pais,codigo_pais,indicador,categoria
2023,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,,Kiribati,KI,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
