ano,valor,pais,codigo_pais,indicador,categoria
2023,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,,Mali,ML,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
