ano,valor,pais,codigo_pais,indicador,categoria
2023,3.35206236401851,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,3.45398443585529,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,3.47599829086814,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,3.14358483714865,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,4.62348577978651,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,3.01865292436563,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,4.46421381119897,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,4.33344271230228,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,4.28992140843004,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,5.35518565836786,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,4.59322171057323,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,2.5578698264002,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,2.26873601469156,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,2.0314881743152,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,1.56057911690569,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,2.31903953214652,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,2.7308392626757,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,4.18499177961912,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,3.00280438932834,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,2.35432609605607,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,4.27602636542955,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,3.73830445514556,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,5.0001855908108,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,2.93717866952239,Nepal,NP,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
