ano,valor,pais,codigo_pais,indicador,categoria
2023,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,,Puerto Rico,PR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
