ano,valor,pais,codigo_pais,indicador,categoria
2023,15.2810672301337,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,34.5119699683183,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,51.1552451927649,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,60.38570710919,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,55.4655716896974,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,55.3326232530062,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,75.0899727094282,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,84.7858417031461,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,126.596146503518,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,,Suriname,SR,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
