ano,valor,pais,codigo_pais,indicador,categoria
2023,11.8378838759669,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,2.64298722132821,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,6.91198286973947,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,4.83646127284288,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,4.46591139161335,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,3.25773908396361,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,32.2886394581752,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,10.3717299601674,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,2.29168478084243,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,4.72800809501276,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,5.47291299817939,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,5.32606389421897,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,27.0954798067945,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,27.5640974469179,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,2.11573592852116,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,6.36281989166667,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,5.01212203714931,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,11.7384814302291,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,39.1172031992275,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,12.8064184675183,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,18.5795513855698,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,24.5559177253838,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,26.4934608741699,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,17.9082004808818,Eswatini,SZ,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
