ano,valor,pais,codigo_pais,indicador,categoria
2023,3409.69599724991,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2022,665.184557828975,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2021,445.964120065389,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2020,11548.3001685524,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2019,2332.00765550556,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2018,3899.8116348601,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2017,1274.01277662434,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2016,771.569981460248,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2015,707.166329420874,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2014,725.979480354135,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2013,578.960212127364,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2012,423.638251153871,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2011,313.80662297339,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2010,250.050554712862,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2009,200.319515875886,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2008,2259.03480337558,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2007,1112.28809202096,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2006,900.366842634875,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2005,1146.9740443266,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2004,452.749476939145,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2003,635.209198445168,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2002,443.978273834896,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2001,480.534314726397,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
2000,177.265814270551,Zimbabwe,ZW,DT.DOD.DSTC.IR.ZS,"Economy & Growth, External Debt"
