ano,valor,pais,codigo_pais,indicador,categoria
2023,4.91481192939088,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,3.32564337467293,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,7.86216299811166,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,10.8886814110501,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,8.19755528790793,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,9.94635775700456,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,10.5922363338645,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,9.54183529140727,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,8.96415714597556,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,5.47408203847123,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,5.25091820450811,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,3.41982754423974,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,2.9390618623228,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,1.43717911449728,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,1.5648729640833,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,1.02031268678293,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,1.1904970195509,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,2.01461581077507,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,2.90572307824734,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,5.67398875900182,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,7.18526651152393,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,6.07580085087922,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,5.83286216726765,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,6.35108840555378,Azerbaijan,AZ,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
