ano,valor,pais,codigo_pais,indicador,categoria
2023,4.95203011552593,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,17.8712795252518,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,16.9240138630112,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,11.9055368166592,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,36.9593746391686,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,17.246822421546,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,30.3458520139881,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,26.0423836386085,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,7.38187818975689,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,16.724395649565,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,5.23002563038489,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,5.6836727482065,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,3.54477536058183,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,4.92890795970623,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,4.60121789606095,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,4.374048148813,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,4.86835377498653,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,6.27563624136757,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,8.90912509344684,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,8.03337570178493,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,15.6253558523097,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,8.59248021479088,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,12.9307631087843,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,19.0379689800063,Ghana,GH,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
