ano,valor,pais,codigo_pais,indicador,categoria
2023,34.4768223164444,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,28.6807544030457,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,62.5073960279022,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,106.628056218762,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,80.2871194501338,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,72.5885880285532,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,70.1284307070546,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,65.5249903674778,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,58.6847226123087,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,56.8710153226803,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,50.2454947494857,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,51.7781580627129,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,47.8987074251357,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,46.241965839348,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,44.1960090472927,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,17.8906917029539,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,24.4531820653773,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,26.7229157913912,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,24.2944056031067,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,34.5878095931192,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,26.3766858784421,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,36.2807620837015,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,,Lebanon,LB,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
