ano,valor,pais,codigo_pais,indicador,categoria
2023,19.0101254051678,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,10.0332156094809,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,13.6849481338038,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,17.4068915012456,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,13.3773706229668,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,13.185187520648,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,11.4000648229884,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,12.8677525958176,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,12.6375228407502,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,14.2231052846037,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,15.8620036932068,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,15.0355513983844,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,12.6986196492342,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,14.5082551800981,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,16.9231754092302,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,16.5647719825259,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,14.1327983726461,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,17.7199993360858,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,13.6304958081529,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,18.3672894817485,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,12.6712664579501,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,25.0876728052088,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,18.8822017940544,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,22.4915754296171,Moldova,MD,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
