ano,valor,pais,codigo_pais,indicador,categoria
2023,18.5262634257279,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,26.7537265957867,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,30.7160190680101,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,45.0076055556928,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,25.0906287317177,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,32.7107131716966,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,17.9856504953837,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,37.7192296630835,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,40.1645931819732,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,31.4953738465162,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,19.9479578240386,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,16.3272654599297,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,12.2713930480629,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,5.54641943568643,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,4.12337715723268,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,3.41822306044365,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,9.77532521389896,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,,Montenegro,ME,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
