ano,valor,pais,codigo_pais,indicador,categoria
2023,9.72710158706713,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,9.18434536730233,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,6.82921370091417,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,7.44897210133654,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,6.68256060291285,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,7.20339291448329,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,6.37966387497535,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,6.38504578622724,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,5.5325362636199,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,4.10551073364016,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,3.14397501022139,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,2.05866749412237,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,1.41560076977703,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,1.68623834472246,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,2.86003642012009,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,3.12144207294522,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,3.83136956643178,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,8.87905840825094,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,12.5016886642681,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,10.5427772924884,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,6.74222030335531,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,7.7208168963069,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,9.52656105299587,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,13.5048260744146,Malawi,MW,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
