ano,valor,pais,codigo_pais,indicador,categoria
2023,27.3618264349062,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2022,30.5574058812495,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2021,27.736093922466,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2020,33.2837355976292,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2019,30.5959743516892,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2018,38.5029055142635,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2017,45.5721295762244,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2016,35.7136603540331,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2015,30.5058003960934,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2014,54.8187351463659,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2013,45.2100769015995,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2012,42.6027299397027,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2011,16.5034812629961,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2010,16.1169185435667,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2009,16.4723139391809,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2008,14.461552448705,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2007,15.9990932451865,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2006,7.79797913882702,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2005,12.139993269774,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2004,10.6986626569461,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2003,19.0351239333006,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2002,17.2048980954466,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2001,35.9485837829261,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
2000,29.4047091943513,Nicaragua,NI,DT.TDS.DECT.EX.ZS,"Economy & Growth, External Debt"
